classification,code,digit_level,country,year,ai_adoption_share,n_firms
nace,A,1,Belgium,2016,0.006635071090047393,3165
nace,B,1,Belgium,2016,0.004329004329004329,231
nace,C,1,Belgium,2016,0.008004685669660288,20488
nace,D,1,Belgium,2016,0.011214953271028037,535
nace,E,1,Belgium,2016,0.0008818342151675485,1134
nace,F,1,Belgium,2016,0.0059643012625163255,22972
nace,G,1,Belgium,2016,0.007586791591487141,46004
nace,H,1,Belgium,2016,0.006784771956275914,5306
nace,I,1,Belgium,2016,0.008110957904128477,12329
nace,J,1,Belgium,2016,0.03557272080495985,9840
nace,K,1,Belgium,2016,0.010947020551481978,9683
nace,L,1,Belgium,2016,0.004674321715272838,19683
nace,M,1,Belgium,2016,0.013094927347080832,22988
nace,N,1,Belgium,2016,0.006856829402084476,7293
nace,O,1,Belgium,2016,0.001695633743111488,2359
nace,P,1,Belgium,2016,0.005571030640668524,4308
nace,Q,1,Belgium,2016,0.005763688760806916,9369
nace,R,1,Belgium,2016,0.0043882292204439855,3875
nace,S,1,Belgium,2016,0.006174200661521499,4536
nace,T,1,Belgium,2016,,11
nace,U,1,Belgium,2016,0.038461538461538464,52
nace,A,1,Belgium,2017,0.009639217846323328,3631
nace,B,1,Belgium,2017,0.007936507936507936,252
nace,C,1,Belgium,2017,0.015147569444444444,23040
nace,D,1,Belgium,2017,0.03685092127303183,597
nace,E,1,Belgium,2017,0.0023006134969325155,1304
nace,F,1,Belgium,2017,0.011432439547215224,26594
nace,G,1,Belgium,2017,0.013077237433592154,51392
nace,H,1,Belgium,2017,0.014529058116232466,5988
nace,I,1,Belgium,2017,0.01315413211323992,13989
nace,J,1,Belgium,2017,0.05996787435302516,11208
nace,K,1,Belgium,2017,0.024584237165582067,11065
nace,L,1,Belgium,2017,0.008136094674556213,22985
nace,M,1,Belgium,2017,0.02407644270559025,26586
nace,N,1,Belgium,2017,0.014718200311116428,8358
nace,O,1,Belgium,2017,0.002589715131335553,2703
nace,P,1,Belgium,2017,0.008768352365415987,4904
nace,Q,1,Belgium,2017,0.013603553581343698,10806
nace,R,1,Belgium,2017,0.027083333333333334,4320
nace,S,1,Belgium,2017,0.011527940601797577,5119
nace,T,1,Belgium,2017,,18
nace,U,1,Belgium,2017,0.05172413793103448,58
nace,A,1,Belgium,2018,0.01206896551724138,4061
nace,B,1,Belgium,2018,0.018315018315018316,273
nace,C,1,Belgium,2018,0.021646741073201733,25180
nace,D,1,Belgium,2018,0.05379746835443038,632
nace,E,1,Belgium,2018,0.007845934379457917,1402
nace,F,1,Belgium,2018,0.016689053055742108,29783
nace,G,1,Belgium,2018,0.019260483668115995,55660
nace,H,1,Belgium,2018,0.02614075792730085,6465
nace,I,1,Belgium,2018,0.016231884057971015,15525
nace,J,1,Belgium,2018,0.08827666087532059,12088
nace,K,1,Belgium,2018,0.03999014616521596,12178
nace,L,1,Belgium,2018,0.011027159485399224,24486
nace,M,1,Belgium,2018,0.035071543216200526,29285
nace,N,1,Belgium,2018,0.0218842324105482,9140
nace,O,1,Belgium,2018,0.0035410764872521247,2824
nace,P,1,Belgium,2018,0.017263310921315646,5503
nace,Q,1,Belgium,2018,0.017009330360828998,12111
nace,R,1,Belgium,2018,0.028827674567584883,4683
nace,S,1,Belgium,2018,0.01751563896336014,5595
nace,T,1,Belgium,2018,,21
nace,U,1,Belgium,2018,0.06060606060606061,66
nace,A,1,Belgium,2019,0.018156745575729716,4351
nace,B,1,Belgium,2019,0.016835016835016835,297
nace,C,1,Belgium,2019,0.029393962321252933,26434
nace,D,1,Belgium,2019,0.07716049382716049,648
nace,E,1,Belgium,2019,0.011667810569663692,1457
nace,F,1,Belgium,2019,0.02118189279626239,31681
nace,G,1,Belgium,2019,0.025986937963899413,58339
nace,H,1,Belgium,2019,0.03675707721950496,6747
nace,I,1,Belgium,2019,0.018968871595330738,16448
nace,J,1,Belgium,2019,0.11907645111810769,12388
nace,K,1,Belgium,2019,0.05136070473493786,12714
nace,L,1,Belgium,2019,0.01488911527309772,25522
nace,M,1,Belgium,2019,0.05860272465456428,30908
nace,N,1,Belgium,2019,0.028473091364205255,9588
nace,O,1,Belgium,2019,0.019895287958115182,2865
nace,P,1,Belgium,2019,0.02360733695652174,5888
nace,Q,1,Belgium,2019,0.02129547471162378,13525
nace,R,1,Belgium,2019,0.030775543701272057,4874
nace,S,1,Belgium,2019,0.025985054347826088,5888
nace,T,1,Belgium,2019,,21
nace,U,1,Belgium,2019,0.18181818181818182,66
nace,A,1,Belgium,2020,0.02305084745762712,4425
nace,B,1,Belgium,2020,0.020134228187919462,298
nace,C,1,Belgium,2020,0.037434153995591586,26767
nace,D,1,Belgium,2020,0.09384615384615384,650
nace,E,1,Belgium,2020,0.013513513513513514,1480
nace,F,1,Belgium,2020,0.02622552076836722,32069
nace,G,1,Belgium,2020,0.03257941550190597,59026
nace,H,1,Belgium,2020,0.048162418494368704,6748
nace,I,1,Belgium,2020,0.021231043710972345,16815
nace,J,1,Belgium,2020,0.15079877360012908,12395
nace,K,1,Belgium,2020,0.06416153426366258,12827
nace,L,1,Belgium,2020,0.018524991261796575,25749
nace,M,1,Belgium,2020,0.07305569815195072,31171
nace,N,1,Belgium,2020,0.03549872122762148,9775
nace,O,1,Belgium,2020,0.024712843717368604,2873
nace,P,1,Belgium,2020,0.028274293142671433,6154
nace,Q,1,Belgium,2020,0.023239535209295815,14286
nace,R,1,Belgium,2020,0.034857948821277455,4963
nace,S,1,Belgium,2020,0.03216180371352785,6032
nace,T,1,Belgium,2020,,21
nace,U,1,Belgium,2020,0.203125,64
nace,A,1,Belgium,2021,0.027309968138370506,4394
nace,B,1,Belgium,2021,0.020134228187919462,298
nace,C,1,Belgium,2021,0.046346680676999284,26647
nace,D,1,Belgium,2021,0.12,650
nace,E,1,Belgium,2021,0.018654230512991338,1501
nace,F,1,Belgium,2021,0.03144535544874815,31836
nace,G,1,Belgium,2021,0.04085476524776549,58403
nace,H,1,Belgium,2021,0.05791909240185102,6699
nace,I,1,Belgium,2021,0.024406292995154632,16718
nace,J,1,Belgium,2021,0.1781468816153721,12284
nace,K,1,Belgium,2021,0.0798965030578642,12754
nace,L,1,Belgium,2021,0.022449138670200326,25658
nace,M,1,Belgium,2021,0.08359312228828539,31115
nace,N,1,Belgium,2021,0.04299855640338214,9699
nace,O,1,Belgium,2021,0.02972027972027972,2860
nace,P,1,Belgium,2021,0.034934497816593885,6183
nace,Q,1,Belgium,2021,0.03231117513891747,14577
nace,R,1,Belgium,2021,0.04017857142857143,4928
nace,S,1,Belgium,2021,0.03880302532061822,6082
nace,T,1,Belgium,2021,,21
nace,U,1,Belgium,2021,0.23809523809523808,63
nace,A,1,Belgium,2022,0.031082028511334424,4279
nace,B,1,Belgium,2022,0.020618556701030927,291
nace,C,1,Belgium,2022,0.05500019298313327,25909
nace,D,1,Belgium,2022,0.13804173354735153,623
nace,E,1,Belgium,2022,0.03183391003460208,1445
nace,F,1,Belgium,2022,0.03771178125204422,30575
nace,G,1,Belgium,2022,0.04977697215261858,56271
nace,H,1,Belgium,2022,0.06794022492682175,6491
nace,I,1,Belgium,2022,0.02741241548862938,16270
nace,J,1,Belgium,2022,0.20253164556962025,11850
nace,K,1,Belgium,2022,0.09237856623292653,12373
nace,L,1,Belgium,2022,0.025363759243062733,25154
nace,M,1,Belgium,2022,0.09475927282413266,30034
nace,N,1,Belgium,2022,0.05187074829931973,9408
nace,O,1,Belgium,2022,0.03515625,2816
nace,P,1,Belgium,2022,0.038018433179723504,6076
nace,Q,1,Belgium,2022,0.041389918198979234,14303
nace,R,1,Belgium,2022,0.04367816091954023,4785
nace,S,1,Belgium,2022,0.04901796206144032,5957
nace,T,1,Belgium,2022,,20
nace,U,1,Belgium,2022,0.2857142857142857,63
nace,A,1,Belgium,2023,0.03883732291157792,4094
nace,B,1,Belgium,2023,0.024305555555555556,288
nace,C,1,Belgium,2023,0.06278910743735168,24861
nace,D,1,Belgium,2023,0.15384615384615385,598
nace,E,1,Belgium,2023,0.0351506456241033,1394
nace,F,1,Belgium,2023,0.04396584245001543,29159
nace,G,1,Belgium,2023,0.05786645344837204,53779
nace,H,1,Belgium,2023,0.08065290446471435,6249
nace,I,1,Belgium,2023,0.03191353287285751,15636
nace,J,1,Belgium,2023,0.23024450744153083,11288
nace,K,1,Belgium,2023,0.10836693548387097,11904
nace,L,1,Belgium,2023,0.03549737360472751,24368
nace,M,1,Belgium,2023,0.10911183178156711,28677
nace,N,1,Belgium,2023,0.06031710832686551,9019
nace,O,1,Belgium,2023,0.04575402635431918,2732
nace,P,1,Belgium,2023,0.051386761953377574,5877
nace,Q,1,Belgium,2023,0.04900301670222942,13591
nace,R,1,Belgium,2023,0.04869075957584938,4621
nace,S,1,Belgium,2023,0.057719054242002785,5752
nace,T,1,Belgium,2023,,20
nace,U,1,Belgium,2023,0.32786885245901637,61
nace,A,1,Belgium,2024,0.04671649759743727,3746
nace,B,1,Belgium,2024,0.026415094339622643,265
nace,C,1,Belgium,2024,0.07509795385285155,22970
nace,D,1,Belgium,2024,0.17657657657657658,555
nace,E,1,Belgium,2024,0.04234527687296417,1228
nace,F,1,Belgium,2024,0.053596720089452106,26830
nace,G,1,Belgium,2024,0.06811526888668996,49519
nace,H,1,Belgium,2024,0.0960539979231568,5778
nace,I,1,Belgium,2024,0.03804006421442033,14327
nace,J,1,Belgium,2024,0.2640705221350383,10323
nace,K,1,Belgium,2024,0.12747152619589977,10975
nace,L,1,Belgium,2024,0.0386153572698187,22504
nace,M,1,Belgium,2024,0.12706701479547433,26427
nace,N,1,Belgium,2024,0.07585624698504582,8292
nace,O,1,Belgium,2024,0.07139766334919947,2311
nace,P,1,Belgium,2024,0.0646830530401035,5411
nace,Q,1,Belgium,2024,0.05611672278338945,12474
nace,R,1,Belgium,2024,0.039684437006932825,4183
nace,S,1,Belgium,2024,0.07092065868263472,5344
nace,T,1,Belgium,2024,,18
nace,U,1,Belgium,2024,0.3559322033898305,59
nace,A,1,France,2016,0.003499562554680665,38864
nace,B,1,France,2016,0.008741258741258742,572
nace,C,1,France,2016,0.008529411764705883,54402
nace,D,1,France,2016,0.008849557522123894,4407
nace,E,1,France,2016,0.0073426573426573424,2860
nace,F,1,France,2016,0.007584065263956217,97591
nace,G,1,France,2016,0.007815600849851743,171339
nace,H,1,France,2016,0.010279808696608213,18192
nace,I,1,France,2016,0.005879558142297185,84193
nace,J,1,France,2016,0.036201699095642643,36492
nace,K,1,France,2016,0.011425944774600256,60921
nace,L,1,France,2016,0.007240285272663178,295043
nace,M,1,France,2016,0.01333463490823897,102450
nace,N,1,France,2016,0.02026255707762557,49183
nace,O,1,France,2016,0.0012539184952978057,1596
nace,P,1,France,2016,0.008117971251955016,13427
nace,Q,1,France,2016,0.004091722785781264,11731
nace,R,1,France,2016,0.005529711226191521,11393
nace,S,1,France,2016,0.006641010795899602,29367
nace,U,1,France,2016,0.0,194
nace,A,1,France,2017,0.006597993671312193,44560
nace,B,1,France,2017,0.0121580547112462,658
nace,C,1,France,2017,0.015591088982509894,62667
nace,D,1,France,2017,0.016676593210244194,5037
nace,E,1,France,2017,0.01303538175046555,3222
