nuts_code,nuts_level,country,year,ai_adoption_share,n_firms
BE,0,Belgium,2016,0.008718506346272937,205092
BE,0,Belgium,2017,0.016285292291885183,233604
BE,0,Belgium,2018,0.02339665695062008,255944
BE,0,Belgium,2019,0.032130614788763744,269567
BE,0,Belgium,2020,0.03961884556295266,273386
BE,0,Belgium,2021,0.04766927738962008,272089
BE,0,Belgium,2022,0.05553234480872656,263289
BE,0,Belgium,2023,0.06510135349812543,251793
BE,0,Belgium,2024,0.07635320981888007,231228
FR,0,France,2016,0.009419225609232,1070582
FR,0,France,2017,0.019203516501001945,1206859
FR,0,France,2018,0.029476140552064864,1250674
FR,0,France,2019,0.03915720875854614,1293354
FR,0,France,2020,0.04755518301201453,1306406
FR,0,France,2021,0.05674027799036548,1300124
FR,0,France,2022,0.06515515652872797,1275329
FR,0,France,2023,0.07944524371852606,1239323
FR,0,France,2024,0.09296552524527603,1171844
DE,0,Germany,2016,0.012261628419475215,680686
DE,0,Germany,2017,0.024355219160683273,771586
DE,0,Germany,2018,0.03919473388308123,824291
DE,0,Germany,2019,0.058683497099973794,863140
DE,0,Germany,2020,0.07583683251129525,883863
DE,0,Germany,2021,0.09200848608963934,896681
DE,0,Germany,2022,0.11012459955764402,889359
DE,0,Germany,2023,0.13556495276330086,868830
DE,0,Germany,2024,0.15833226600806657,827616
LU,0,Luxembourg,2016,0.043663755749616694,15002
LU,0,Luxembourg,2017,0.05847060106905203,18335
LU,0,Luxembourg,2018,0.0701898459011642,20704
LU,0,Luxembourg,2019,0.08286951144094001,22640
LU,0,Luxembourg,2020,0.12080536912751678,23693
LU,0,Luxembourg,2021,0.15170485372062936,23962
LU,0,Luxembourg,2022,0.17130547177940542,23211
LU,0,Luxembourg,2023,0.19587866494560208,21694
LU,0,Luxembourg,2024,0.2276256844201095,20091
BE1,1,Belgium,2016,0.013786031673692606,26332
BE2,1,Belgium,2016,0.007578324981072214,138693
BE3,1,Belgium,2016,0.009334830899787845,40067
BE1,1,Belgium,2017,0.02539488891742648,31150
BE2,1,Belgium,2017,0.014414181277091286,154583
BE3,1,Belgium,2017,0.016399607245074894,47871
BE1,1,Belgium,2018,0.03758160148529676,33396
BE2,1,Belgium,2018,0.02118118890603807,171054
BE3,1,Belgium,2018,0.02155674667909578,51494
BE1,1,Belgium,2019,0.051137340285337764,34906
BE2,1,Belgium,2019,0.030002274580728197,180263
BE3,1,Belgium,2019,0.026986782359321285,54398
BE1,1,Belgium,2020,0.0619942278309094,35342
BE2,1,Belgium,2020,0.03709344304504791,182544
BE3,1,Belgium,2020,0.03367628245553974,55500
BE1,1,Belgium,2021,0.07556761387976582,35015
BE2,1,Belgium,2021,0.044113844308609845,181762
BE3,1,Belgium,2021,0.04169152609788288,55312
BE1,1,Belgium,2022,0.08786327803270973,33996
BE2,1,Belgium,2022,0.051463185735005544,175816
BE3,1,Belgium,2022,0.04835723769096995,53477
BE1,1,Belgium,2023,0.09996026044691712,32713
BE2,1,Belgium,2023,0.06025146048776413,167581
BE3,1,Belgium,2023,0.05874014524835916,51499
BE1,1,Belgium,2024,0.11612164813603662,30580
BE2,1,Belgium,2024,0.07052859310923827,154845
BE3,1,Belgium,2024,0.06949326463332096,45803
FR1,1,France,2016,0.014501028087756773,250492
FRB,1,France,2016,0.0070926398307721026,32156
FRC,1,France,2016,0.005858575521899304,39098
FRD,1,France,2016,0.006794989004472338,40489
FRE,1,France,2016,0.008144134043414618,64235
FRF,1,France,2016,0.0067917423172617845,74376
FRG,1,France,2016,0.00739247311827957,56554
FRH,1,France,2016,0.011865885073325085,49315
FRI,1,France,2016,0.007132132132132132,93267
FRJ,1,France,2016,0.007859169833100862,103977
FRK,1,France,2016,0.008294056661348078,136027
FRL,1,France,2016,0.007744574519066201,116870
FRM,1,France,2016,0.008256984504015383,8843
FRY,1,France,2016,0.02027442146221585,4883
FR1,1,France,2017,0.030604808467884586,282690
FRB,1,France,2017,0.01653234709648929,36241
FRC,1,France,2017,0.013165646952186721,44139
FRD,1,France,2017,0.014708142164072619,45570
FRE,1,France,2017,0.01595011760776072,71864
FRF,1,France,2017,0.01427628816507708,83377
FRG,1,France,2017,0.014493669885726026,63280
FRH,1,France,2017,0.01864944809176827,55458
FRI,1,France,2017,0.014774266258795897,105614
FRJ,1,France,2017,0.01608204569072727,117417
FRK,1,France,2017,0.01572687167341202,153714
FRL,1,France,2017,0.01637564530822958,131733
FRM,1,France,2017,0.017668908744102,9962
FRY,1,France,2017,0.03206896551724138,5800
FR1,1,France,2018,0.0459441523303895,293859
FRB,1,France,2018,0.023580481792116616,37328
FRC,1,France,2018,0.02042927903137039,45434
FRD,1,France,2018,0.023312256498690682,46988
FRE,1,France,2018,0.025134165745260374,74177
FRF,1,France,2018,0.021886284208204165,86149
FRG,1,France,2018,0.02225881205025003,65602
FRH,1,France,2018,0.02626269653541116,57510
FRI,1,France,2018,0.02320204697066618,109455
FRJ,1,France,2018,0.02419984387197502,121713
FRK,1,France,2018,0.025434812681564948,159062
FRL,1,France,2018,0.026885768378886118,136814
FRM,1,France,2018,0.0284423945421351,10408
FRY,1,France,2018,0.037894736842105266,6175
FR1,1,France,2019,0.06029532403609516,302329
FRB,1,France,2019,0.03154181365428512,38555
FRC,1,France,2019,0.027380674214584618,47080
FRD,1,France,2019,0.0312287987500257,48647
FRE,1,France,2019,0.03427079934747145,76629
FRF,1,France,2019,0.030962813167059882,89023
FRG,1,France,2019,0.030161664172754746,68170
FRH,1,France,2019,0.03364144813958941,59718
FRI,1,France,2019,0.030809812714323398,113739
FRJ,1,France,2019,0.03306802656245036,125895
FRK,1,France,2019,0.033587110696230923,164984
FRL,1,France,2019,0.035855613077086734,141017
FRM,1,France,2019,0.036598890942698706,10821
FRY,1,France,2019,0.041796353935082256,6747
FR1,1,France,2020,0.07357883633933661,305293
FRB,1,France,2020,0.03769790108813367,38785
FRC,1,France,2020,0.03347686592367444,47379
FRD,1,France,2020,0.03834114205045318,48883
FRE,1,France,2020,0.04164406210442016,77420
FRF,1,France,2020,0.037903180881287954,89768
FRG,1,France,2020,0.03711933080643053,68863
FRH,1,France,2020,0.03982036920425546,60346
FRI,1,France,2020,0.03728789949766243,114871
FRJ,1,France,2020,0.04019453021267903,127282
FRK,1,France,2020,0.041101304175997895,167010
FRL,1,France,2020,0.04253306141328343,142696
FRM,1,France,2020,0.04292002934702861,10905
FRY,1,France,2020,0.05126719768283852,6905
FR1,1,France,2021,0.08548876306648834,304311
FRB,1,France,2021,0.04473240896721524,38585
FRC,1,France,2021,0.04065006062410925,47011
FRD,1,France,2021,0.04680553268565783,48584
FRE,1,France,2021,0.049968818210165265,76969
FRF,1,France,2021,0.045689597277876026,89342
FRG,1,France,2021,0.0444687682428488,68520
FRH,1,France,2021,0.050368917840999734,60177
FRI,1,France,2021,0.04489945987586774,114234
FRJ,1,France,2021,0.04810246679316888,126481
FRK,1,France,2021,0.0502854052754912,166430
FRL,1,France,2021,0.05149956912992499,141575
FRM,1,France,2021,0.050491141099788854,10893
FRY,1,France,2021,0.05904164289788933,7012
FR1,1,France,2022,0.09801915775634232,298158
FRB,1,France,2022,0.050249795141550584,37831
FRC,1,France,2022,0.04663851899967522,46185
FRD,1,France,2022,0.0536617088673981,47669
FRE,1,France,2022,0.058071531820653256,75407
FRF,1,France,2022,0.052000045624080386,87673
FRG,1,France,2022,0.05212079778854442,67286
FRH,1,France,2022,0.05686424149919444,58965
FRI,1,France,2022,0.051477019187862565,112050
FRJ,1,France,2022,0.054885608024343516,124223
FRK,1,France,2022,0.05819642518171075,163310
